index,rank
tree_17,12.7
tree_15,13.6
mix_19,14.7
tree_19,14.85
tree_20,16.8
mix_18,16.9
tree_14,17.7
tree_13,17.75
mix_20,18.6
mix_13,19.0
tree_16,19.4
tree_18,19.45
tree_12,20.15
mix_16,20.95
mix_15,21.65
mix_14,22.05
tree_9,22.25
tree_8,22.35
mix_17,22.9
tree_11,23.55
mix_10,23.55
mix_12,24.2
mix_9,26.85
tree_10,26.85
mix_8,26.9
tree_7,27.55
mix_5,27.6
mix_6,27.95
mix_7,28.05
mix_11,28.75
tree_5,34.25
tree_6,34.65
knn_16,35.45
knn_15,35.7
mix_4,35.7
tree_3,35.75
mix_3,37.15
knn_18,37.7
knn_13,38.15
tree_4,39.15
knn_17,39.7
knn_20,40.45
knn_12,40.75
knn_19,40.85
knn_14,40.9
knn_9,43.05
mix_2,44.0
knn_6,44.3
knn_11,44.95
knn_8,45.05
knn_10,46.65
knn_7,47.4
knn_5,48.0
mix_1,48.4
knn_4,48.9
knn_3,50.3
tree_1,53.45
tree_2,53.85
knn_1,54.25
knn_2,55.0
naive-bayes_15,69.35
naive-bayes_11,71.6
naive-bayes_5,71.75
naive-bayes_20,72.25
naive-bayes_14,72.9
naive-bayes_19,73.0
naive-bayes_6,73.65
naive-bayes_12,73.7
naive-bayes_8,74.5
naive-bayes_16,74.9
naive-bayes_13,75.0
naive-bayes_3,75.0
naive-bayes_10,75.4
naive-bayes_17,75.8
naive-bayes_7,76.25
perceptron_13,76.75
perceptron_3,76.8
perceptron_7,77.0
perceptron_18,77.8
perceptron_10,78.25
perceptron_11,78.55
perceptron_16,78.6
naive-bayes_9,78.65
naive-bayes_18,78.8
perceptron_6,78.9
perceptron_4,79.0
perceptron_14,79.6
perceptron_12,79.85
naive-bayes_4,79.85
perceptron_8,80.55
perceptron_19,81.0
perceptron_15,81.25
naive-bayes_2,81.6
perceptron_2,82.4
perceptron_20,82.6
perceptron_9,82.9
naive-bayes_1,83.0
perceptron_17,83.3
perceptron_5,83.7
perceptron_1,84.85
