,tree_2,tree_4,tree_6,tree_8,tree_10,tree_20,perceptron_2,perceptron_4,perceptron_6,perceptron_8,perceptron_10,perceptron_20,naive-bayes_2,naive-bayes_4,naive-bayes_6,naive-bayes_8,naive-bayes_10,naive-bayes_20,knn_2,knn_4,knn_6,knn_8,knn_10,knn_20,mix_2,mix_4,mix_6,mix_8,mix_10,mix_20,tree_1,tree_3,tree_5,tree_7,tree_9,perceptron_1,perceptron_3,perceptron_5,perceptron_7,perceptron_9,naive-bayes_1,naive-bayes_3,naive-bayes_5,naive-bayes_7,naive-bayes_9,knn_1,knn_3,knn_5,knn_7,knn_9,mix_1,mix_3,mix_5,mix_7,mix_9,tree_11,tree_12,tree_13,tree_14,tree_15,tree_16,tree_17,tree_18,tree_19,perceptron_11,perceptron_12,perceptron_13,perceptron_14,perceptron_15,perceptron_16,perceptron_17,perceptron_18,perceptron_19,naive-bayes_11,naive-bayes_12,naive-bayes_13,naive-bayes_14,naive-bayes_15,naive-bayes_16,naive-bayes_17,naive-bayes_18,naive-bayes_19,knn_11,knn_12,knn_13,knn_14,knn_15,knn_16,knn_17,knn_18,knn_19,mix_11,mix_12,mix_13,mix_14,mix_15,mix_16,mix_17,mix_18,mix_19
tree_2,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8200792335171417,0.9,0.7661413613339878,0.9,0.8949924865793355,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8860022956597373
tree_4,0.9,1.0,0.9,0.9,0.9,0.9,0.6402893553861617,0.8440527129055094,0.850045738859347,0.7511602786107032,0.8889980116229161,0.6283037790922638,0.6882339821933925,0.793110862704006,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.49387295578011803,0.9,0.5623795391925179,0.9,0.6103245030438935,0.6043304950181523,0.9,0.9,0.9,0.8650245417549889,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8710197664879016,0.793110862704006,0.9,0.8080933730911668,0.7092100418535012,0.8680240865510536,0.5863518438241575,0.9,0.7241928416424726,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8560381495086484,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
tree_6,0.9,0.9,1.0,0.9,0.9,0.9,0.35282170642113697,0.5743675924801903,0.5803569988685577,0.48219881027512557,0.6193135386624764,0.3385944213893268,0.4117963973023441,0.5234246176047741,0.8949924865793364,0.8440527129055108,0.7901132012847418,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.2137026770903685,0.7062109347503502,0.27293707808711587,0.6942262551114382,0.31914822285371314,0.3133873528993074,0.8140876288929653,0.9,0.7391727475527807,0.5953410236738602,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6013343890442389,0.5234246176047741,0.7092100418535012,0.5384066959216418,0.43680786362016943,0.5983381520894824,0.29599311053795707,0.6462824037458685,0.45380701806431833,0.9,0.8919977557123421,0.8140876288929653,0.9,0.9,0.8200792335171426,0.766141361333988,0.5863518438241585,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
tree_8,0.9,0.9,0.9,1.0,0.9,0.9,0.013289898233044273,0.03941306323218019,0.04061412270524667,0.024249956436628195,0.04902413953933671,0.012416884674070316,0.017352894783984163,0.030300561994744957,0.16672945140550965,0.13393879209758908,0.10813177593382728,0.22834067908530098,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0056632199116183335,0.07524413994789014,0.008505655524987832,0.07110261825776587,0.011207035982854552,0.010828330729009794,0.12066846793870567,0.2533823036453303,0.08719387868419948,0.04372566315040294,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.04501300804020325,0.030300561994744957,0.07630114927076015,0.03277756686920785,0.019442224899256733,0.044368402160809395,0.009765725326187469,0.056111558837629416,0.02106213195994977,0.26166167353790937,0.16470273158397264,0.12066846793870567,0.19721634286002532,0.40813790817505713,0.123888326339191,0.09650912736088946,0.041840364786850714,0.19266927591721483,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
tree_10,0.9,0.9,0.9,0.9,1.0,0.9,0.054434475249317105,0.13393879209758908,0.13751060938677173,0.08983774695391367,0.16269126964694947,0.0512201375406266,0.06908087447571354,0.10965877561906068,0.4226622979547199,0.36008301296081824,0.30179860837588124,0.5114402264527076,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.025826214237688383,0.22587924214082045,0.03709421858355133,0.21611657462419165,0.046990824968410894,0.04566673458873094,0.3248766171964069,0.5414067830967725,0.2533823036453303,0.1469430134144043,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.15086371480068173,0.10965877561906068,0.22834067908530098,0.11747647222326518,0.07630114927076015,0.14890828615043783,0.041840364786850714,0.17955970165438484,0.08168323752804751,0.5503944655646471,0.4190604431424858,0.3248766171964069,0.4730621113165858,0.6852366913648278,0.3316571006814324,0.2786530009542798,0.14120126772297037,0.4667884429959468,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
tree_20,0.9,0.9,0.9,0.9,0.9,1.0,0.0017903047244142156,0.006304712022581205,0.006533675653881854,0.00358691274594658,0.008215189424773395,0.0016590905548358181,0.0024250875993597765,0.004641158325724648,0.03709421858355133,0.028434292474681655,0.021399715065949954,0.056111558837629416,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.001,0.013515784874639558,0.0010808110521577374,0.012629555253833802,0.0014758075472297572,0.0014214571507954465,0.024249956436628195,0.06516345152845271,0.0162437986466738,0.007139424976026931,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.007397818141832491,0.004641158325724648,0.013746270482751344,0.005080630873769421,0.0027661256399210687,0.00726765625025616,0.0012645032982010473,0.009598552392166226,0.0030355710518440437,0.06808868043529792,0.036532106886363214,0.024249956436628195,0.04632600669369391,0.123888326339191,0.025009113516487824,0.018825027386257243,0.006769578020808686,0.04501300804020325,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
perceptron_2,0.9,0.6402893553861617,0.35282170642113697,0.013289898233044273,0.054434475249317105,0.0017903047244142156,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7181970435231182,0.9,0.4297880534123334,0.07524413994789014,0.05526898855981899,0.01975763989331747,0.00352135157499045,0.9,0.43331125937277126,0.32487661719640937,0.06710436466640501,0.012847078169263781,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8740184735988131,0.9,0.5204276365397704,0.06808868043529792,0.07736278777214722,0.054434475249317105,0.01975763989331747,0.006192681983527404,0.0025641058653051996,0.0025192779517843045,0.001,0.004727124110169401,0.001,0.004813487741092803,0.001,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7361799401322577,0.5803569988685573,0.7451660395660074,0.4297880534123334,0.4117963973023441,0.6732529252494925,0.5533891632911065,0.7421717352340361,0.09113214898648281,0.024249956436628195,0.004084578939287931,0.01199972639283775,0.010461754782181365,0.008215189424773395,0.015976583524435872,0.0018594326556593543,0.001
perceptron_4,0.9,0.8440527129055094,0.5743675924801903,0.03941306323218019,0.13393879209758908,0.006304712022581205,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6372935184517372,0.175385762097107,0.1357100522926159,0.056111558837629416,0.011797038255680126,0.9,0.6402893553861617,0.5503944655646471,0.16068398181063814,0.0382421925853732,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7241928416424726,0.16269126964694947,0.17955970165438484,0.13393879209758908,0.056111558837629416,0.01975763989331769,0.00880742871216289,0.008655936353652582,0.0019311157567807324,0.015456731678984759,0.0013668371494910403,0.015714619871007418,0.003094932842915288,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7841232597182933,0.9,0.6372935184517372,0.6223101512132438,0.8770138045324537,0.757152924525382,0.9,0.21129916609434185,0.06808868043531657,0.013515784874639558,0.035976063836563044,0.0317669540684441,0.025415018214431373,0.04632600669369391,0.006533675653881854,0.0029240440708622195
perceptron_6,0.9,0.850045738859347,0.5803569988685577,0.04061412270524667,0.13751060938677173,0.006533675653881854,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6432850435491977,0.1795597016543854,0.13934062010795645,0.05783120508691564,0.012207438260859682,0.9,0.6462824037458684,0.5563855325546336,0.16470273158397297,0.03941306323218019,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7301846850209865,0.16672945140550965,0.18383422036569164,0.13751060938677173,0.05783120508691564,0.020401575613871903,0.009117342105579795,0.008958968306424397,0.002005722246168018,0.015976583524435872,0.0014214571507954465,0.01624379864667358,0.0032104139796278464,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7901132012847418,0.9,0.6432850435491977,0.6283037790922645,0.8830068337440453,0.7631466734385554,0.9,0.21611657462419187,0.07008579328291775,0.013977003636686192,0.03709421858355133,0.032777566869207964,0.026247836190061324,0.04766398358112556,0.006769578020808575,0.0030355710518440437
perceptron_8,0.9,0.7511602786107032,0.48219881027512557,0.024249956436628195,0.08983774695391367,0.00358691274594658,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8290699125168457,0.9,0.544402551058624,0.12227729096879225,0.09113214898643984,0.0354271624764706,0.006891630559933581,0.9,0.5473991349222826,0.4571063058554653,0.10965877561917414,0.023510925615728873,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6313009759476593,0.11119552824977808,0.12499745891822578,0.08983774695391367,0.0354271624764706,0.011797038255680237,0.005080630873769421,0.00499275670874233,0.00105943015825527,0.009117342105579795,0.001,0.00927396679235104,0.001720309617556648,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8470481183820078,0.6912286832658481,0.8560381495086484,0.544402551058624,0.5294165629472743,0.7841232597182936,0.6642617107671027,0.8530415020091512,0.1469430134144586,0.043090941271104355,0.007933883781512163,0.022085348604231392,0.019442224899256844,0.015456731678984759,0.028889581061220637,0.003725264209304746,0.0016243843208675335
