dataset,n_base_classifiers,n_objetos_gerados,qtde_classifiers,classifier_type,acc1,acc2,acc3,acc4,acc5,acc_mean,time_to_run
load_electrical_grid_stability,20,10,2,tree,0.997,1.0,0.997,0.993,0.9995,0.9972999999999999,17.47528314590454
load_electrical_grid_stability,20,10,4,tree,0.9995,0.999,0.999,0.9995,1.0,0.9994,18.517893314361572
load_electrical_grid_stability,20,10,6,tree,0.998,0.9995,1.0,1.0,1.0,0.9995,19.249200344085693
load_electrical_grid_stability,20,10,8,tree,0.9985,1.0,1.0,0.9995,1.0,0.9996,20.202587366104126
load_electrical_grid_stability,20,10,10,tree,0.999,0.999,1.0,0.9995,1.0,0.9995,21.07968044281006
load_electrical_grid_stability,20,10,20,tree,0.999,0.9985,1.0,0.9995,0.9995,0.9993000000000001,10.00971531867981
load_htru_pulsar,20,10,2,tree,0.9653631284916201,0.9614525139664805,0.9698324022346368,0.9653534506845488,0.9625593741268511,0.9649121739008274,83.22520971298218
load_htru_pulsar,20,10,4,tree,0.9754189944134078,0.9770949720670391,0.9782122905027933,0.9759709416037999,0.9742944956691814,0.9761983388512444,84.99862337112427
load_htru_pulsar,20,10,6,tree,0.9782122905027933,0.9782122905027933,0.9807262569832402,0.9779267951941883,0.9762503492595697,0.978265596488517,86.2588758468628
load_htru_pulsar,20,10,8,tree,0.9782122905027933,0.979050279329609,0.982122905027933,0.9793238334730372,0.9762503492595697,0.9789919315185884,87.8293616771698
load_htru_pulsar,20,10,10,tree,0.9787709497206704,0.9784916201117319,0.9824022346368715,0.9790444258172674,0.9765297569153395,0.9790477974403761,89.33130812644958
load_htru_pulsar,20,10,20,tree,0.9787709497206704,0.9776536312849162,0.9826815642458101,0.9810002794076558,0.9765297569153395,0.9793272363148784,17.418454885482788
load_image_segmentation,20,10,2,tree,0.9632034632034632,0.9567099567099567,0.9502164502164502,0.9675324675324676,0.9545454545454546,0.9584415584415584,4.214219808578491
load_image_segmentation,20,10,4,tree,0.9718614718614719,0.961038961038961,0.9696969696969697,0.9805194805194806,0.9675324675324676,0.9701298701298701,4.399717807769775
load_image_segmentation,20,10,6,tree,0.9718614718614719,0.961038961038961,0.9761904761904762,0.987012987012987,0.9696969696969697,0.9731601731601731,4.619833707809448
load_image_segmentation,20,10,8,tree,0.9805194805194806,0.974025974025974,0.9718614718614719,0.9913419913419913,0.9718614718614719,0.9779220779220779,4.836862802505493
load_image_segmentation,20,10,10,tree,0.9805194805194806,0.9653679653679653,0.9653679653679653,0.9826839826839827,0.9675324675324676,0.9722943722943723,5.032225608825684
load_image_segmentation,20,10,20,tree,0.9848484848484849,0.9718614718614719,0.974025974025974,0.9935064935064936,0.9783549783549783,0.9805194805194806,2.378554582595825
load_rice,20,10,2,tree,0.9826780313445147,0.9843277426450371,0.9832279351113555,0.9837778388781964,0.9837778388781964,0.9835578773714599,31.591118097305298
load_rice,20,10,4,tree,0.9862524058289799,0.9873522133626615,0.9879021171295024,0.9870772614792411,0.9881770690129228,0.9873522133626615,33.176159381866455
load_rice,20,10,6,tree,0.9879021171295024,0.9887269727797635,0.9895518284300248,0.9862524058289799,0.9892768765466043,0.9883420401429749,34.88439655303955
load_rice,20,10,8,tree,0.9901017321968656,0.9879021171295024,0.9895518284300248,0.987627165246082,0.9868023095958207,0.9883970305196591,36.53495168685913
load_rice,20,10,10,tree,0.9887269727797635,0.987627165246082,0.9884520208963431,0.9868023095958207,0.9906516359637063,0.9884520208963432,38.12688374519348
load_rice,20,10,20,tree,0.9887269727797635,0.9903766840802859,0.9890019246631839,0.9881770690129228,0.9895518284300248,0.9891668957932362,18.092864274978638
load_statlog_vehicle,20,10,2,tree,0.7647058823529411,0.7041420118343196,0.7692307692307693,0.7751479289940828,0.7455621301775148,0.7517577445179254,1.6423590183258057
load_statlog_vehicle,20,10,4,tree,0.7588235294117647,0.757396449704142,0.7455621301775148,0.7455621301775148,0.7159763313609467,0.7446641141663766,1.7239439487457275
load_statlog_vehicle,20,10,6,tree,0.7647058823529411,0.727810650887574,0.7514792899408284,0.7514792899408284,0.6982248520710059,0.7387399930386356,1.8114633560180664
load_statlog_vehicle,20,10,8,tree,0.7529411764705882,0.7159763313609467,0.7692307692307693,0.7218934911242604,0.727810650887574,0.7375704838148277,1.8808138370513916
load_statlog_vehicle,20,10,10,tree,0.788235294117647,0.7337278106508875,0.757396449704142,0.757396449704142,0.7218934911242604,0.7517298990602158,1.9615097045898438
load_statlog_vehicle,20,10,20,tree,0.7823529411764706,0.7633136094674556,0.7337278106508875,0.757396449704142,0.7218934911242604,0.7517368604246432,0.94972825050354
load_gamma_telecope,20,10,2,tree,0.8220294426919033,0.8188748685594112,0.8249211356466877,0.8157202944269191,0.8065194532071503,0.8176130389064143,34.93749499320984
load_gamma_telecope,20,10,4,tree,0.8420084121976866,0.844900105152471,0.8554153522607781,0.8480546792849631,0.8590956887486856,0.8498948475289169,36.63990831375122
load_gamma_telecope,20,10,6,tree,0.8580441640378549,0.8530494216614091,0.8575184016824395,0.8556782334384858,0.8598843322818086,0.8568349106203994,38.41197323799133
load_gamma_telecope,20,10,8,tree,0.8638275499474237,0.8548895899053628,0.8575184016824395,0.8661934805467929,0.8596214511041009,0.860410094637224,40.20742392539978
load_gamma_telecope,20,10,10,tree,0.8630389064143007,0.8661934805467929,0.8648790746582544,0.8719768664563617,0.8680336487907466,0.8668243953732914,41.878299713134766
load_gamma_telecope,20,10,20,tree,0.8703995793901157,0.8698738170347003,0.870925341745531,0.879074658254469,0.8711882229232387,0.872292323869611,19.929941177368164
load_pen_digit_recognition,20,10,2,tree,0.9781718963165075,0.9749886311959982,0.9845313921747043,0.9731574158325751,0.9813466787989081,0.9784392028637386,51.319178342819214
load_pen_digit_recognition,20,10,4,tree,0.9899954524783993,0.98681218735789,0.991810737033667,0.9868061874431301,0.989080982711556,0.9889011094049284,54.023892641067505
load_pen_digit_recognition,20,10,6,tree,0.9890859481582538,0.9909049567985448,0.9949954504094631,0.9881710646041856,0.989080982711556,0.9904476805364008,55.301934480667114
load_pen_digit_recognition,20,10,8,tree,0.992269213278763,0.9877216916780355,0.9931756141947224,0.9877161055505005,0.9922656960873522,0.9906296641578747,57.80399560928345
load_pen_digit_recognition,20,10,10,tree,0.9936334697589814,0.9913597089586176,0.9909008189262967,0.9895359417652412,0.9922656960873522,0.9915391270992977,56.69009518623352
load_pen_digit_recognition,20,10,20,tree,0.9931787175989086,0.988631195998181,0.9954504094631483,0.9895359417652412,0.9927206551410374,0.9919033839933034,11.074524402618408
load_leaf,20,10,2,tree,0.6470588235294118,0.6764705882352942,0.5588235294117647,0.6323529411764706,0.6764705882352942,0.6382352941176471,1.646421194076538
load_leaf,20,10,4,tree,0.7352941176470589,0.5882352941176471,0.6617647058823529,0.7205882352941176,0.6617647058823529,0.6735294117647059,1.6780672073364258
load_leaf,20,10,6,tree,0.6323529411764706,0.6764705882352942,0.6323529411764706,0.6617647058823529,0.7647058823529411,0.6735294117647059,1.7052128314971924
load_leaf,20,10,8,tree,0.6911764705882353,0.6470588235294118,0.6911764705882353,0.7205882352941176,0.7352941176470589,0.6970588235294117,1.7426905632019043
load_leaf,20,10,10,tree,0.6911764705882353,0.6617647058823529,0.75,0.7352941176470589,0.6911764705882353,0.7058823529411764,1.778038501739502
load_leaf,20,10,20,tree,0.75,0.7352941176470589,0.6764705882352942,0.7647058823529411,0.75,0.7352941176470589,0.3939332962036133
load_accent_recognition,20,10,2,tree,0.7575757575757576,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.7384615384615385,0.7537529137529138,0.6415925025939941
load_accent_recognition,20,10,4,tree,0.7424242424242424,0.7121212121212122,0.7121212121212122,0.8333333333333334,0.7538461538461538,0.7507692307692309,0.6670260429382324
load_accent_recognition,20,10,6,tree,0.7121212121212122,0.7121212121212122,0.7424242424242424,0.8787878787878788,0.6923076923076923,0.7475524475524477,0.6989517211914062
load_accent_recognition,20,10,8,tree,0.8333333333333334,0.8333333333333334,0.7424242424242424,0.8333333333333334,0.8,0.8084848484848486,0.7270646095275879
load_accent_recognition,20,10,10,tree,0.803030303030303,0.7272727272727273,0.7424242424242424,0.8333333333333334,0.7538461538461538,0.771981351981352,0.7542052268981934
load_accent_recognition,20,10,20,tree,0.7727272727272727,0.7575757575757576,0.7272727272727273,0.8636363636363636,0.7384615384615385,0.771934731934732,0.37915945053100586
load_statlog_sattelite_image,20,10,2,tree,0.8717948717948718,0.864024864024864,0.8912198912198912,0.8686868686868687,0.8811188811188811,0.8753690753690753,31.060226440429688
load_statlog_sattelite_image,20,10,4,tree,0.8881118881118881,0.8811188811188811,0.9005439005439005,0.8958818958818959,0.8935508935508936,0.8918414918414918,31.69154143333435
load_statlog_sattelite_image,20,10,6,tree,0.898989898989899,0.8958818958818959,0.9145299145299145,0.8935508935508936,0.9036519036519036,0.9013209013209014,32.21625518798828
load_statlog_sattelite_image,20,10,8,tree,0.9036519036519036,0.8896658896658897,0.916083916083916,0.9106449106449106,0.9075369075369075,0.9055167055167056,32.86403155326843
load_statlog_sattelite_image,20,10,10,tree,0.8966588966588966,0.8857808857808858,0.9121989121989122,0.9036519036519036,0.9075369075369075,0.9011655011655011,33.42069911956787
load_statlog_sattelite_image,20,10,20,tree,0.8935508935508936,0.9028749028749029,0.9176379176379177,0.9044289044289044,0.916083916083916,0.9069153069153069,7.071350812911987
load_electrical_grid_stability,20,10,2,perceptron,0.929,0.916,0.903,0.9195,0.9215,0.9178000000000001,28.283817291259766
load_electrical_grid_stability,20,10,4,perceptron,0.9215,0.919,0.938,0.935,0.9215,0.9269999999999999,28.957260847091675
load_electrical_grid_stability,20,10,6,perceptron,0.9525,0.954,0.948,0.946,0.94,0.9480999999999998,29.84260368347168
load_electrical_grid_stability,20,10,8,perceptron,0.9295,0.924,0.932,0.931,0.929,0.9291,30.697116374969482
load_electrical_grid_stability,20,10,10,perceptron,0.9125,0.937,0.9395,0.9415,0.924,0.9309,31.778679370880127
load_electrical_grid_stability,20,10,20,perceptron,0.921,0.939,0.927,0.9395,0.9195,0.9292,9.733406066894531
load_htru_pulsar,20,10,2,perceptron,0.9698324022346368,0.9695530726256983,0.979050279329609,0.9701033808326348,0.9659122659960883,0.9708902802037335,81.34497141838074
load_htru_pulsar,20,10,4,perceptron,0.9773743016759776,0.9712290502793296,0.9762569832402235,0.9717798267672534,0.9706621961441744,0.9734604716213917,83.64159369468689
load_htru_pulsar,20,10,6,perceptron,0.9650837988826816,0.9706703910614525,0.9743016759776536,0.9706621961441744,0.9670298966191674,0.9695495917370259,84.60260963439941
load_htru_pulsar,20,10,8,perceptron,0.9745810055865922,0.9636871508379888,0.9743016759776536,0.9667504889633975,0.9740150880134115,0.9706670818758087,86.59353303909302
load_htru_pulsar,20,10,10,perceptron,0.9754189944134078,0.9712290502793296,0.979608938547486,0.972338642078793,0.9709416037999441,0.9739074458237921,88.07312822341919
load_htru_pulsar,20,10,20,perceptron,0.9650837988826816,0.9712290502793296,0.975977653631285,0.9647946353730092,0.9684269348980162,0.9691024146128644,16.568102836608887
load_image_segmentation,20,10,2,perceptron,0.7186147186147186,0.7835497835497836,0.7467532467532467,0.7857142857142857,0.7575757575757576,0.7584415584415585,7.25710916519165
load_image_segmentation,20,10,4,perceptron,0.8463203463203464,0.8441558441558441,0.8398268398268398,0.8528138528138528,0.8116883116883117,0.8389610389610389,7.483342170715332
load_image_segmentation,20,10,6,perceptron,0.7445887445887446,0.803030303030303,0.7316017316017316,0.7359307359307359,0.803030303030303,0.7636363636363634,7.672526836395264
load_image_segmentation,20,10,8,perceptron,0.7662337662337663,0.8398268398268398,0.7813852813852814,0.8722943722943723,0.7597402597402597,0.8038961038961039,7.8621985912323
load_image_segmentation,20,10,10,perceptron,0.7922077922077922,0.8181818181818182,0.8203463203463204,0.8225108225108225,0.8116883116883117,0.8129870129870129,8.08982229232788
load_image_segmentation,20,10,20,perceptron,0.7272727272727273,0.7727272727272727,0.7640692640692641,0.8203463203463204,0.7402597402597403,0.764935064935065,2.8660457134246826
load_rice,20,10,2,perceptron,0.9826780313445147,0.9840527907616167,0.9848776464118779,0.9857025020621392,0.9804784162771515,0.9835578773714599,49.88312578201294
load_rice,20,10,4,perceptron,0.9818531756942535,0.9848776464118779,0.9854275501787187,0.9815782238108332,0.9846026945284575,0.983667858124828,51.77577996253967
load_rice,20,10,6,perceptron,0.9857025020621392,0.9840527907616167,0.9799285125103107,0.9837778388781964,0.9774539455595271,0.982183117954358,53.24222135543823
load_rice,20,10,8,perceptron,0.9826780313445147,0.9851525982952983,0.9843277426450371,0.9821281275776739,0.983502886994776,0.9835578773714599,54.962472677230835
load_rice,20,10,10,perceptron,0.9824030794610943,0.9868023095958207,0.9760791861424251,0.9846026945284575,0.9848776464118779,0.9829529832279352,56.769604444503784
load_rice,20,10,20,perceptron,0.9837778388781964,0.9868023095958207,0.9862524058289799,0.9846026945284575,0.9818531756942535,0.9846576849051416,17.540806531906128
load_statlog_vehicle,20,10,2,perceptron,0.6352941176470588,0.6035502958579881,0.6449704142011834,0.6094674556213018,0.6627218934911243,0.6312008353637312,2.6105918884277344
load_statlog_vehicle,20,10,4,perceptron,0.6764705882352942,0.5739644970414202,0.5680473372781065,0.5976331360946746,0.6686390532544378,0.6169509223807867,2.6752214431762695
